Inventario;Autore;Ambito culturale;Datazione;Titolo-soggetto;Materiali;Immagine;lsreferenceby
0066/L;;arte valdostana;1659 - 1659;rosoni/ stemmi/ gigli;legno intagliato/ legno dipinto;http://93.62.170.226/foto/M0018066.jpg;http://www.palazzomadamatorino.it/it/node/21320
0067/L;;artigianato valdostano;1610 - 1610;rosoni/ tralci;legno intagliato/ legno dipinto;http://93.62.170.226/foto/M0018067.jpg;http://www.palazzomadamatorino.it/it/node/21321
0068/L;;artigianato valdostano;;rosoni/ rametti;legno inciso;http://93.62.170.226/foto/M0018068.jpg;http://www.palazzomadamatorino.it/it/node/21322
0069/L;;artigianato valdostano;;culla;legno intagliato/ legno dipinto;http://93.62.170.226/foto/M0018069.jpg;http://www.palazzomadamatorino.it/it/node/32260
0070/L;;artigianato valdostano;;rosoni;legno intagliato;http://93.62.170.226/foto/M0018070.jpg;http://www.palazzomadamatorino.it/it/node/21323
0071/L;;artigianato valdostano;;uccelli/ fiori/ crocette;legno intagliato/ legno smaltato;http://93.62.170.226/foto/M0018071.jpg;http://www.palazzomadamatorino.it/it/node/21324
0072/L;;artigianato valdostano;;elementi ornamentali/ uccelli/ animali;legno intagliato/ legno smaltato;http://93.62.170.226/foto/M0018072.jpg;http://www.palazzomadamatorino.it/it/node/21325
0073/L;;artigianato valdostano;1814 - 1814;rosoni/ busto maschile/ figuretta femminile/ esploratore;legno inciso;http://93.62.170.226/foto/M0018073.jpg;http://www.palazzomadamatorino.it/it/node/21326
0074/L;;artigianato valdostano;;rosoni/ tralci di vite;legno intagliato/ legno inciso;http://93.62.170.226/foto/M0018074.jpg;http://www.palazzomadamatorino.it/it/node/21327
0075/L;;artigianato valdostano;1837 - 1837;rametti fogliati e fioriti;legno intagliato/ legno dipinto;http://93.62.170.226/foto/M0018075.jpg;http://www.palazzomadamatorino.it/it/node/21328
0076/L;;artigianato valdostano - Cogne;1749 - 1749;rosoni/ rametti/ tre stemmi di cui uno sabaudo;legno intagliato/ legno inciso;http://93.62.170.226/foto/M0018076.jpg;http://www.palazzomadamatorino.it/it/node/21329
0077/L;;artigianato valdostano;;elementi stilizzati;legno intagliato/ legno inciso;http://93.62.170.226/foto/M0018077.jpg;http://www.palazzomadamatorino.it/it/node/21330
0079/L;;artigianato valdostano;1678 - 1678;rosoni/ animali/ fiori/ un cuore;legno intagliato/ legno inciso;http://93.62.170.226/foto/M0018079.jpg;http://www.palazzomadamatorino.it/it/node/21332
0080/L;;artigianato valdostano;;cestino da lavoro con cassettino frontale;legno intagliato;http://93.62.170.226/foto/M0018080.jpg;http://www.palazzomadamatorino.it/it/node/32261
0082/L;;arte gotica valdostana;XV;tabernacolo;legno dorato/ legno dipinto;http://93.62.170.226/foto/M0018082.jpg;http://www.palazzomadamatorino.it/it/node/32262
0085/L;;intagliatore dell'Alta Valle di Susa;XVI;rosoncini/ ornati geometrici;legno intagliato;http://93.62.170.226/foto/M0018085.jpg;http://www.palazzomadamatorino.it/it/node/21336
0086/L;;arte valdostana;;uomini a cavallo/ giglio/ rosone/ stemma;legno intagliato;http://93.62.170.226/foto/M0018086.jpg;http://www.palazzomadamatorino.it/it/node/25639
0089/L;;Castello d'Issogne - Aosta;XV;Crocefissione;legno;http://93.62.170.226/foto/M0018089.jpg;http://www.palazzomadamatorino.it/it/node/25640
0090/L;;intagliatore genovese;XVII;volute/ putti;legno intagliato;http://93.62.170.226/foto/M0018090.jpg;http://www.palazzomadamatorino.it/it/node/21339
0091/L;;arte veneta;XVI;stemma piumato/ teste di unicorno/ figure maschili/ tralcio di vite;legno intagliato;http://93.62.170.226/foto/M0018091.jpg;http://www.palazzomadamatorino.it/it/node/21340
0093/L;;Valle d'Aosta;XV;archetti/ foglie ogivali/ fioroni;legno;http://93.62.170.226/foto/M0018093.jpg;http://www.palazzomadamatorino.it/it/node/21341
0094/L;;Castello di Chillon - Canton de Vaud;XV;stemma sabaudo coronato/ stemmi/ grifoni rampanti entro arcatelle;legno intagliato;http://93.62.170.226/foto/M0018094.jpg;http://www.palazzomadamatorino.it/it/node/21342
0095/L;;Valle di Susa;XVI;candelabro tra due delfini/ pellicano con piccoli nel nido/ stemma con capra rampante/fenice sulla pira tra cornucopie;legno intagliato;http://93.62.170.226/foto/M0018095.jpg;http://www.palazzomadamatorino.it/it/node/25642
0096/L;;cattedrale di Chieri;XV;colonnina tortile/ capitello a testa di fiera/ ramo di rosa/ tralcio di vite;legno intagliato;http://93.62.170.226/foto/M0018096.jpg;http://www.palazzomadamatorino.it/it/node/21343
0097/L;;arte piemontese;XVIII ?;cornucopia con fogliami/ limoni/ melograni/ pere;legno intagliato;http://93.62.170.226/foto/M0018097.jpg;http://www.palazzomadamatorino.it/it/node/21344
0098/L;;intagliatore genovese;XVI;rosoncini entro rombi/ motivi arcuati;legno intagliato;http://93.62.170.226/foto/M0018098.jpg;http://www.palazzomadamatorino.it/it/node/25643
0100/L;;arte piemontese;XVII;rami di giglio incrociati e annodati;legno intagliato;http://93.62.170.226/foto/M0018100.jpg;http://www.palazzomadamatorino.it/it/node/21346
0103/L;;arte piemontese;XV;pesci contrapposti;legno intagliato;http://93.62.170.226/foto/M0018103.jpg;http://www.palazzomadamatorino.it/it/node/21349
0104/L;;Moriondo;XVI;figura femminile;legno intagliato;http://93.62.170.226/foto/M0018104.jpg;http://www.palazzomadamatorino.it/it/node/21350
0107/L;;Valle di Susa;ca. 1525 - ca. 1525;fogliami/ uccelli/ piccolo cupido;legno;http://93.62.170.226/foto/M0018107.jpg;http://www.palazzomadamatorino.it/it/node/25644
0109/L;;Castello d'Issogne - Aosta;XVI;bracciale;legno intagliato/ legno tornito;http://93.62.170.226/foto/M0018109.jpg;http://www.palazzomadamatorino.it/it/node/32264
0117/L;;scultore del Piemonte meridionale o della Liguria di Ponente;XV;Cristo in croce;legno policromo/ legno dorato;http://93.62.170.226/foto/M0018117.jpg;http://www.palazzomadamatorino.it/it/node/21355
0118/L;;arte dell'Italia settentrionale;XVIII;Cristo in croce/ figura di drago al basamento;legno;http://93.62.170.226/foto/M0018118.jpg;http://www.palazzomadamatorino.it/it/node/25645
0121/L;;scultore piemontese-aostano;XIV;Madonna col Bambino;legno/ legno di pino cembro intagliato/ dipinto e dorato;http://93.62.170.226/foto/M0018121.jpg;http://www.palazzomadamatorino.it/it/node/25646
0151/L;;arte piemontese;ca. 1740 - ca. 1750;telaio;legno/ bronzo;http://93.62.170.226/foto/M0018151.jpg;http://www.palazzomadamatorino.it/it/node/32272
0157/L;Capello Gabriele;arte piemontese;XIX;arcolaio;noce/ legno intagliato/ bronzo dorato;http://93.62.170.226/foto/M0018157.jpg;http://www.palazzomadamatorino.it/it/node/32278
0160/L;;artigianato valdostano;;piedistallo;legno di larice/ ferro;http://93.62.170.226/foto/M0018160.jpg;http://www.palazzomadamatorino.it/it/node/32281
0204/L;;manifattura fiamminga;XVII;gioco del tric trac;avorio/ legno;http://93.62.170.226/foto/M0018204.jpg;http://www.palazzomadamatorino.it/it/node/21418
0209/L;;Gerusalemme;XVI (?);Santo Sepolcro;legno/ madreperla/ avorio;http://93.62.170.226/foto/M0018209.jpg;http://www.palazzomadamatorino.it/it/node/21420
0004/VE;;manifattura di Kosta - Svezia;XIX;vaso;vetro;http://93.62.170.226/foto/M0018304.jpg;http://www.palazzomadamatorino.it/it/node/32363
0011/VE;;Murano;XVI;bicchiere;vetro;http://93.62.170.226/foto/M0018310.jpg;http://www.palazzomadamatorino.it/it/node/32367
0012/VE;;arte orientale;XIX;motivi floreali;vetro/ bronzo;http://93.62.170.226/foto/M0018311.jpg;http://www.palazzomadamatorino.it/it/node/21445
0013/VE;;Compagnia Venezia e Murano;post 1878 - 1878;vaso/ calice con coperchio;vetro;http://93.62.170.226/foto/M0018312.jpg;http://www.palazzomadamatorino.it/it/node/32368
0016/VE;;Murano;XIX;vaso;vetro soffiato;http://93.62.170.226/foto/M0018315.jpg;http://www.palazzomadamatorino.it/it/node/32371
0018/VE;;Murano;XIX;vaso;vetro soffiato;http://93.62.170.226/foto/M0018317.jpg;http://www.palazzomadamatorino.it/it/node/32373
0024/VE;;manifattura boema;XIX;selvaggina in paesaggio;vetro;http://93.62.170.226/foto/M0018323.jpg;http://www.palazzomadamatorino.it/it/node/21448
0026/VE;;Murano;XIX;mascheroni/ rosette;vetro soffiato;http://93.62.170.226/foto/M0018325.jpg;http://www.palazzomadamatorino.it/it/node/21449
0031/VE;;Murano;XIX;vaso;vetro soffiato;http://93.62.170.226/foto/M0018330.jpg;http://www.palazzomadamatorino.it/it/node/32381
0035/VE;;manifattura veneta;XVII - XVIII;vaso con coperchio;vetro/ rame dorato;http://93.62.170.226/foto/M0018334.jpg;http://www.palazzomadamatorino.it/it/node/32385
0036/VE;;Murano;XVI;vaso;vetro/ metallo dorato;http://93.62.170.226/foto/M0018335.jpg;http://www.palazzomadamatorino.it/it/node/32386
0039/VE;;Murano;XIX;vaso;vetro soffiato;http://93.62.170.226/foto/M0018338.jpg;http://www.palazzomadamatorino.it/it/node/32389
0045/VE;;Murano;XX;foglie/ fiori;vetro millefiori;http://93.62.170.226/foto/M0018344.jpg;http://www.palazzomadamatorino.it/it/node/21453
0050/VE;;Murano;XVIII;bicchiere;vetro;http://93.62.170.226/foto/M0018349.jpg;http://www.palazzomadamatorino.it/it/node/32397
0051/VE;;Murano;XVI;bicchiere;vetro;http://93.62.170.226/foto/M0018350.jpg;http://www.palazzomadamatorino.it/it/node/32398
0052/VE;;Murano;XVI;bicchiere;vetro;http://93.62.170.226/foto/M0018351.jpg;http://www.palazzomadamatorino.it/it/node/32399
0057/VE;;manifattura boema;XVIII;ornati/ iniziali/ colombe/ cane/ fiori;vetro;http://93.62.170.226/foto/M0018356.jpg;http://www.palazzomadamatorino.it/it/node/21458
0060/VE;;fabbrica francese;XVI;figurine;vetro;http://93.62.170.226/foto/M0018359.jpg;http://www.palazzomadamatorino.it/it/node/21459
0066/VE;;Slesia - Warmbrunn;1730 - 1740;Mercurio/ navi/ carrozza;vetro inciso;http://93.62.170.226/foto/M0018365.jpg;http://www.palazzomadamatorino.it/it/node/25651
0071/VE;;Murano;XIX;vasetto;vetro colorato;http://93.62.170.226/foto/M0018370.jpg;http://www.palazzomadamatorino.it/it/node/32410
0072/VE;;Murano;(?) 1871 - (?) 1871;Balsamario;vetro colorato;http://93.62.170.226/foto/M0018371.jpg;http://www.palazzomadamatorino.it/it/node/32411
0073/VE;;Murano;(?) 1871 - (?) 1871;Balsamario;vetro colorato;http://93.62.170.226/foto/M0018372.jpg;http://www.palazzomadamatorino.it/it/node/32412
0103/VE;;fabbrica piemontese;XVIII;Lampadario;vetro/ cristallo;http://93.62.170.226/foto/M0018402.jpg;http://www.palazzomadamatorino.it/it/node/32434
0104/VE;;fabbrica piemontese;XVIII;Lampadario;vetro/ ferro/ legno;http://93.62.170.226/foto/M0018403.jpg;http://www.palazzomadamatorino.it/it/node/32435
0108/VE;;Murano;XVI;Coppetta;vetro/ cristallo;http://93.62.170.226/foto/M0018407.jpg;http://www.palazzomadamatorino.it/it/node/32439
0112/VE;;manifattura di Murano;1927 - 1928;Lampadario;cristallo dorato;http://93.62.170.226/foto/M0018411.jpg;http://www.palazzomadamatorino.it/it/node/32441
0113/VE;;fabbrica piemontese;1927 - 1928;Lampadario;cristallo/ legno dorato;http://93.62.170.226/foto/M0018412.jpg;http://www.palazzomadamatorino.it/it/node/32442
0114/VE;;fabbrica piemontese;1927 - 1928;Lampadario;cristallo/ legno dorato;http://93.62.170.226/foto/M0018413.jpg;http://www.palazzomadamatorino.it/it/node/32443
0115/VE;;manifattura di Murano;1927 - 1928;Lampadario;cristallo;http://93.62.170.226/foto/M0018414.jpg;http://www.palazzomadamatorino.it/it/node/32444
0116/VE;;Murano;XVI;Bottiglia;vetro;http://93.62.170.226/foto/M0018415.jpg;http://www.palazzomadamatorino.it/it/node/32445
0117/VE;;Murano;XVI;Calice;vetro;http://93.62.170.226/foto/M0018416.jpg;http://www.palazzomadamatorino.it/it/node/32446
0118/VE;;Murano;XVI;Calice con coperchio;vetro;http://93.62.170.226/foto/M0018417.jpg;http://www.palazzomadamatorino.it/it/node/32447
0119/VE;;Murano;1890 - 1890;vaso;vetro;http://93.62.170.226/foto/M0018418.jpg;http://www.palazzomadamatorino.it/it/node/32448
0120/VE;;Murano;XVI;acquereccia;vetro;http://93.62.170.226/foto/M0018419.jpg;http://www.palazzomadamatorino.it/it/node/32449
0121/VE;;Murano;XVI;Calice;vetro;http://93.62.170.226/foto/M0018420.jpg;http://www.palazzomadamatorino.it/it/node/32450
0122/VE;;Murano;XVI;Calice;vetro;http://93.62.170.226/foto/M0018421.jpg;http://www.palazzomadamatorino.it/it/node/32451
0123/VE;;Murano;XVI;fiasca;vetro;http://93.62.170.226/foto/M0018422.jpg;http://www.palazzomadamatorino.it/it/node/32452
0124/VE;;Murano;XVI;coppa;vetro;http://93.62.170.226/foto/M0018423.jpg;http://www.palazzomadamatorino.it/it/node/32453
0125/VE;;Barcellona;XVI;cardellini;vetro/ smalto;http://93.62.170.226/foto/M0018424.jpg;http://www.palazzomadamatorino.it/it/node/25652
0126/VE;;Murano;XVI;coppa;vetro;http://93.62.170.226/foto/M0018425.jpg;http://www.palazzomadamatorino.it/it/node/32454
0127/VE;;Murano;XVI;coppa;vetro;http://93.62.170.226/foto/M0018426.jpg;http://www.palazzomadamatorino.it/it/node/32455
0128/VE;;Murano;XVI;coppa;vetro;http://93.62.170.226/foto/M0018427.jpg;http://www.palazzomadamatorino.it/it/node/32456
0129/VE;;Murano;XVI;piatto;vetro dorato;http://93.62.170.226/foto/M0018428.jpg;http://www.palazzomadamatorino.it/it/node/32457
0130/VE;;Murano;XVI;piatto;vetro;http://93.62.170.226/foto/M0018429.jpg;http://www.palazzomadamatorino.it/it/node/32458
0131/VE;;Murano;XVI;coppa;vetro/ smalto;http://93.62.170.226/foto/M0018430.jpg;http://www.palazzomadamatorino.it/it/node/32459
0132/VE;;Murano;XVI;piatto;vetro;http://93.62.170.226/foto/M0018431.jpg;http://www.palazzomadamatorino.it/it/node/32460
0133/VE;;Murano;XV;vaso;vetro/ smalto;http://93.62.170.226/foto/M0018432.jpg;http://www.palazzomadamatorino.it/it/node/32461
0134/VE;;Murano;XV;ciotola;vetro/ smalto;http://93.62.170.226/foto/M0018433.jpg;http://www.palazzomadamatorino.it/it/node/32462
0135/VE;;Murano;XV;trionfo di Amorini;vetro/ smalto;http://93.62.170.226/foto/M0018434.jpg;http://www.palazzomadamatorino.it/it/node/25653
0136/VE;;Murano;XV;bicchiere;vetro/ smalto;http://93.62.170.226/foto/M0018435.jpg;http://www.palazzomadamatorino.it/it/node/32463
0137/VE;;Murano;XV;stemma con nastrino;vetro/ smalto;http://93.62.170.226/foto/M0018436.jpg;http://www.palazzomadamatorino.it/it/node/25654
0138/VE;;Murano;XV;bicchiere;vetro/ smalto;http://93.62.170.226/foto/M0018437.jpg;http://www.palazzomadamatorino.it/it/node/32464
0139/VE;;Murano;XVI;Coppetta;vetro/ smalto;http://93.62.170.226/foto/M0018438.jpg;http://www.palazzomadamatorino.it/it/node/32465
0141/VE;;Murano;XVI;stemma dei Marchesi del Monferrato;vetro/ smalto;http://93.62.170.226/foto/M0018440.jpg;http://www.palazzomadamatorino.it/it/node/25655
0142/VE;;Murano;XV;uccello;vetro/ smalto;http://93.62.170.226/foto/M0018441.jpg;http://www.palazzomadamatorino.it/it/node/25656
0143/VE;;Murano;XVI;stemma con aquila coronata;vetro/ smalto;http://93.62.170.226/foto/M0018442.jpg;http://www.palazzomadamatorino.it/it/node/25657
0146/VE;;arte spagnola;XVII;vaso;vetro;http://93.62.170.226/foto/M0018445.jpg;http://www.palazzomadamatorino.it/it/node/32468
0147/VE;;Murano;XVI;ampolla;vetro;http://93.62.170.226/foto/M0018446.jpg;http://www.palazzomadamatorino.it/it/node/32469
0148/VE;;Murano;XVI;vaso con coperchio;vetro;http://93.62.170.226/foto/M0018447.jpg;http://www.palazzomadamatorino.it/it/node/32470
0149/VE;;Murano;XVII;ampolla;vetro;http://93.62.170.226/foto/M0018448.jpg;http://www.palazzomadamatorino.it/it/node/32471
0151/VE;;Murano;XVI;Bottiglia;vetro;http://93.62.170.226/foto/M0018450.jpg;http://www.palazzomadamatorino.it/it/node/32473
0152/VE;;arte spagnola;XVII;vaso;vetro;http://93.62.170.226/foto/M0018451.jpg;http://www.palazzomadamatorino.it/it/node/32474
0153/VE;;arte spagnola;XVI;bicchiere;vetro;http://93.62.170.226/foto/M0018452.jpg;http://www.palazzomadamatorino.it/it/node/32475
0154/VE;;Murano;XVI;Calice;vetro;http://93.62.170.226/foto/M0018453.jpg;http://www.palazzomadamatorino.it/it/node/32476
0155/VE;;arte spagnola;XVII;vaso;vetro;http://93.62.170.226/foto/M0018454.jpg;http://www.palazzomadamatorino.it/it/node/32477
0156/VE;;Murano;XVI;Bottiglia;vetro;http://93.62.170.226/foto/M0018455.jpg;http://www.palazzomadamatorino.it/it/node/32478
0157/VE;;Murano;XVI;brocca;vetro/ smalto;http://93.62.170.226/foto/M0018456.jpg;http://www.palazzomadamatorino.it/it/node/32479
0158/VE;;Murano;XVIII;vaso;vetro;http://93.62.170.226/foto/M0018457.jpg;http://www.palazzomadamatorino.it/it/node/32480
0159/VE;;Murano;XIX;bicchiere;vetro;http://93.62.170.226/foto/M0018458.jpg;http://www.palazzomadamatorino.it/it/node/32481
0160/VE;;Murano;XVI;brocca;vetro;http://93.62.170.226/foto/M0018459.jpg;http://www.palazzomadamatorino.it/it/node/32482
0161/VE;;Murano;XVI;Calice;vetro;http://93.62.170.226/foto/M0018460.jpg;http://www.palazzomadamatorino.it/it/node/32483
0162/VE;;Murano;XVIII;brocca;vetro;http://93.62.170.226/foto/M0018461.jpg;http://www.palazzomadamatorino.it/it/node/32484
0164/VE;;Murano;XVI;vasetto;vetro;http://93.62.170.226/foto/M0018463.jpg;http://www.palazzomadamatorino.it/it/node/32486
0165/VE;;Murano;XVI;Calice;vetro;http://93.62.170.226/foto/M0018464.jpg;http://www.palazzomadamatorino.it/it/node/32487
0166/VE;;Murano;XVI;Calice;vetro;http://93.62.170.226/foto/M0018465.jpg;http://www.palazzomadamatorino.it/it/node/32488
0167/VE;;Murano;XVI;coppa;vetro;http://93.62.170.226/foto/M0018466.jpg;http://www.palazzomadamatorino.it/it/node/32489
0168/VE;;Murano;XVII;cervo;vetro;http://93.62.170.226/foto/M0018467.jpg;http://www.palazzomadamatorino.it/it/node/25659
0170/VE;;Murano;XVII;pistola;vetro/ stagno;http://93.62.170.226/foto/M0018469.jpg;http://www.palazzomadamatorino.it/it/node/32490
0171/VE;;Murano;XVII;San Nicola/ figura inginocchiata/ fontana/ figura con bastone/ veliero/ figura stante;vetro/ olio;http://93.62.170.226/foto/M0018470.jpg;http://www.palazzomadamatorino.it/it/node/21472
0173/VE;;Murano;XVI;Coppetta;vetro;http://93.62.170.226/foto/M0018472.jpg;http://www.palazzomadamatorino.it/it/node/32491
0174/VE;;Murano;XVI;ampolla;vetro;http://93.62.170.226/foto/M0018473.jpg;http://www.palazzomadamatorino.it/it/node/32492
0175/VE;;Murano;XVI;zuppiera;vetro/ argento dorato;http://93.62.170.226/foto/M0018474.jpg;http://www.palazzomadamatorino.it/it/node/32493
0176/VE;;arte toscana;XVI;ampollino;vetro;http://93.62.170.226/foto/M0018475.jpg;http://www.palazzomadamatorino.it/it/node/32494
0177/VE;;arte spagnola;XVII;quadrupede;vetro;http://93.62.170.226/foto/M0018476.jpg;http://www.palazzomadamatorino.it/it/node/21474
0178/VE;;Murano;XVI;animale fantastico;vetro;http://93.62.170.226/foto/M0018477.jpg;http://www.palazzomadamatorino.it/it/node/21475
0179/VE;;Venezia;XVIII;mezzo busto con testa coronata;vetro;http://93.62.170.226/foto/M0018478.jpg;http://www.palazzomadamatorino.it/it/node/21476
0180/VE;;Venezia;XVIII;mezzo busto;vetro;http://93.62.170.226/foto/M0018479.jpg;http://www.palazzomadamatorino.it/it/node/21477
0181/VE;;Venezia;XVIII;mezzo busto di donna velata;vetro;http://93.62.170.226/foto/M0018480.jpg;http://www.palazzomadamatorino.it/it/node/21478
0182/VE;;Veneto;XVII;secchiello;vetro/ smalti policromi;http://93.62.170.226/foto/M0018481.jpg;http://www.palazzomadamatorino.it/it/node/32495
0183/VE;;Murano;XVIII;paesaggio acquatico/ scorcio di un paese fortificato;vetro lattimo/ legno;http://93.62.170.226/foto/M0018482.jpg;http://www.palazzomadamatorino.it/it/node/21479
0184/VE;;Murano;XVIII;pifferaio sulle rive di un fiume;vetro lattimo/ legno;http://93.62.170.226/foto/M0018483.jpg;http://www.palazzomadamatorino.it/it/node/21480
0185/VE;;Murano;XVI;Coppetta;vetro;http://93.62.170.226/foto/M0018484.jpg;http://www.palazzomadamatorino.it/it/node/32496
0186/VE;;Murano;XVI;bicchiere;vetro;http://93.62.170.226/foto/M0018485.jpg;http://www.palazzomadamatorino.it/it/node/32497
0187/VE;;Murano;XVIII;Ercole e Onfale su sfondo paesaggistico;vetro lattimo;http://93.62.170.226/foto/M0018486.jpg;http://www.palazzomadamatorino.it/it/node/21481
0188/VE;;Murano;XVIII;tritoni e nereidi;vetro lattimo;http://93.62.170.226/foto/M0018487.jpg;http://www.palazzomadamatorino.it/it/node/21482
0189/VE;;Murano;XVIII;vaso;vetro lattimo;http://93.62.170.226/foto/M0018488.jpg;http://www.palazzomadamatorino.it/it/node/32498
0190/VE;;Murano;XVIII;figurina femminile drappeggiata/ figurina sotto ad un albero;vetro lattimo;http://93.62.170.226/foto/M0018489.jpg;http://www.palazzomadamatorino.it/it/node/21483
0191/VE;;Murano;XVIII;Madonna;vetro lattimo/ vetro policromo;http://93.62.170.226/foto/M0018490.jpg;http://www.palazzomadamatorino.it/it/node/21484
0192/VE;;Murano;XVIII;San Giuseppe;smalto vitreo;http://93.62.170.226/foto/M0018491.jpg;http://www.palazzomadamatorino.it/it/node/21485
0193/VE;;Murano;XVIII;danzatrice;vetro lattimo/ vetro policromo;http://93.62.170.226/foto/M0018492.jpg;http://www.palazzomadamatorino.it/it/node/21486
0194/VE;;Murano;XVIII;donna stante;vetro lattimo;http://93.62.170.226/foto/M0018493.jpg;http://www.palazzomadamatorino.it/it/node/21487
0195/VE;;Murano;XVIII;fiori e foglie;vetro lattimo;http://93.62.170.226/foto/M0018494.jpg;http://www.palazzomadamatorino.it/it/node/21488
0197/VE;;Murano;XVIII;soldato;vetro lattimo;http://93.62.170.226/foto/M0018496.jpg;http://www.palazzomadamatorino.it/it/node/21489
0003/CU;;fabbrica francese;XIX;scatola;cuoio/ oro/ carta;http://93.62.170.226/foto/M0018502.jpg;http://www.palazzomadamatorino.it/it/node/32503
0004/CU;;arte tedesca;XVII;soggetti sacri e di caccia;cuoio/ legno/ rame;http://93.62.170.226/foto/M0018503.jpg;http://www.palazzomadamatorino.it/it/node/21492
0050/CU;;arte francese;XV;Nativita' di Cristo;cuoio/ ferro;http://93.62.170.226/foto/M0018549.jpg;http://www.palazzomadamatorino.it/it/node/25660
0097/CU;;arte spagnola;XVI;Madonna con Figlio;cuoio/ legno/ stucco;http://93.62.170.226/foto/M0018598.jpg;http://www.palazzomadamatorino.it/it/node/21529
0100/CU;;officina italiana (?);XVI;due putti/ due vasi/ tre foglie/ racemi/ fiori ed un nastro con lettere;cuoio/ ferro;http://93.62.170.226/foto/M0018601.jpg;http://www.palazzomadamatorino.it/it/node/21531
0120/CU;;artigianato spagnolo;XVIII;rami/ fiori/ frutti/ uccelli;cuoio;http://93.62.170.226/foto/M0018621.jpg;http://www.palazzomadamatorino.it/it/node/21542
0121/CU;;artigianato Italiano;XVII;grottesche/ figure femminili/ suonatori;cuoio;http://93.62.170.226/foto/M0018622.jpg;http://www.palazzomadamatorino.it/it/node/21543
0125/CU;;fabbrica piemontese;XV;cassetta;cuoio/ legno/ ferro;http://93.62.170.226/foto/M0018626.jpg;http://www.palazzomadamatorino.it/it/node/32567
0126/CU;;arte toscana;XVI;fogliame/ candelabre/ putti;cuoio dipinto/ cuoio dorato;http://93.62.170.226/foto/M0018627.jpg;http://www.palazzomadamatorino.it/it/node/25665
0129/CU;;manifattura fiamminga;1650 - 1670;decoro a motivi floreali;cuoio;http://93.62.170.226/foto/M0018630.jpg;http://www.palazzomadamatorino.it/it/node/25668
0379/A;;arte tardoromana;VI;testa di grifo;argento dorato/ lapislazzuli;http://93.62.170.226/foto/M0018745A.jpg;http://www.palazzomadamatorino.it/it/node/21568
0380/A;;arte tardoromana;VI;fibula;argento;http://93.62.170.226/foto/M0018746.jpg;http://www.palazzomadamatorino.it/it/node/32657
0381/A;;arte tardoromana;VI;fibula;argento;http://93.62.170.226/foto/M0018747.jpg;http://www.palazzomadamatorino.it/it/node/32658
0382/A;;arte ostrogota;VI;fibbia;argento dorato/ granati;http://93.62.170.226/foto/M0018748.jpg;http://www.palazzomadamatorino.it/it/node/32659
0384/A;;arte tardoromana;IV - V;iscrizione propiziatoria;argento dorato;http://93.62.170.226/foto/M0018750.jpg;http://www.palazzomadamatorino.it/it/node/21569
0389/A;;argentiere piemontese;XVIII;San Maurizio martire rivestito di corazza e avvolto in un mantello;argento/ legno;http://93.62.170.226/foto/M0018755.jpg;http://www.palazzomadamatorino.it/it/node/21571
0681/T;;manifattura italiana;XX;motivo a pizzo/ elementi vegetali/ fiori;seta/ filato metallico;http://93.62.170.226/foto/M0018892.jpg;http://www.palazzomadamatorino.it/it/node/21697
0906/L;;arte piemontese;ca. 1765 - ca. 1770;chiambrana/ specchiera;legno;http://93.62.170.226/foto/M0019006.jpg;http://www.palazzomadamatorino.it/it/node/32711
0908/L;;arte piemontese;ca. 1765 - ca. 1770;lesena;legno;http://93.62.170.226/foto/M0019008A.jpg;http://www.palazzomadamatorino.it/it/node/32718
0913/L;;arte piemontese;ca. 1780 - ca. 1780;divano;legno/ cannicciato;http://93.62.170.226/foto/M0019018.jpg;http://www.palazzomadamatorino.it/it/node/32723
0914/L;;arte piemontese;ca. 1780 - ca. 1780;poltroncina;legno/ cannicciato;http://93.62.170.226/foto/M0019019.jpg;http://www.palazzomadamatorino.it/it/node/32724
0915/L;;arte piemontese;ca. 1780 - ca. 1780;sedia;legno/ cannicciato;http://93.62.170.226/foto/M0019020.jpg;http://www.palazzomadamatorino.it/it/node/32725
0929/L;;arte piemontese;XVIII;porta a due battenti;legno;http://93.62.170.226/foto/M0019039.jpg;http://www.palazzomadamatorino.it/it/node/32743
0930/L;;arte piemontese;XVIII;sedia;legno/ stoffa;http://93.62.170.226/foto/M0019040.jpg;http://www.palazzomadamatorino.it/it/node/32744
0933/L;;arte piemontese;XIX;tavolo;legno/ avorio;http://93.62.170.226/foto/M0019043A.jpg;http://www.palazzomadamatorino.it/it/node/32747
0936/L;;arte piemontese;XVIII;porta a due battenti;legno/ ferro;http://93.62.170.226/foto/M0019046.jpg;http://www.palazzomadamatorino.it/it/node/32748
0937/L;;arte piemontese;XIX;tavolino;legno;http://93.62.170.226/foto/M0019047.jpg;http://www.palazzomadamatorino.it/it/node/32749
0939/L;;arte piemontese;XX;sedia;legno/ stoffa;http://93.62.170.226/foto/M0019049.jpg;http://www.palazzomadamatorino.it/it/node/32751
0941/L;;arte lombarda;XVIII;mobile;legno/ vetro/ metallo;http://93.62.170.226/foto/M0019051.jpg;http://www.palazzomadamatorino.it/it/node/32752
0943/L;;Venezia;XVIII;portaparrucca;legno;http://93.62.170.226/foto/M0019053.jpg;http://www.palazzomadamatorino.it/it/node/32753
0944/L;;arte italiana;XIX;leggio;legno/ ottone;http://93.62.170.226/foto/M0019054.jpg;http://www.palazzomadamatorino.it/it/node/32754
